date,bytes
2021-02-21,1588418278418
2021-02-22,1696572613079
2021-02-23,2135466244667
2021-02-24,1979438687857
2021-02-25,1459829737055
2021-02-26,1413683460281
2021-02-27,1541615216864
2021-02-28,1231367256797
2021-03-01,1414325442918
2021-03-02,988676551792
2021-03-03,1646411166525
2021-03-04,968127476116
2021-03-05,958062558276
2021-03-06,664470731796
2021-03-07,2791507871381
2021-03-08,1969115885149
2021-03-09,3855004270356
2021-03-10,2352151817516
2021-03-11,2589868098648
2021-03-12,2426811865767
2021-03-13,2892200730574
2021-03-14,2203898323094
2021-03-15,3719839355615
2021-03-16,4095284355230
2021-03-17,3357941118333
2021-03-18,2552658305493
2021-03-19,2749262244109
2021-03-20,2868348291674
2021-03-21,2139972620552
2021-03-22,3485974002482
2021-03-23,2357947666492
2021-03-24,4112197603505
2021-03-25,4747249014375
2021-03-26,2052897007683
2021-03-27,2840405512706
2021-03-28,2406460078203
2021-03-29,2722976186483
2021-03-30,4928994435702
2021-03-31,4579191621444
2021-04-01,2724492385569
2021-04-02,2843082229338
2021-04-03,3693585032590
2021-04-04,4607683692492
2021-04-05,3007702714374
2021-04-06,3743250400791
2021-04-07,3344397270326
2021-04-08,2914838839448
2021-04-09,2713092200546
2021-04-10,2900705510538
2021-04-11,2726667334109
2021-04-12,2948792211087
2021-04-13,2588994483369
2021-04-14,2477174489048
2021-04-15,2643252303765
2021-04-16,2339053311088
2021-04-17,2553330627615
2021-04-18,2365381405174
2021-04-19,2472727522573
2021-04-20,2660839639433
2021-04-21,2442059345228
2021-04-22,2493383619124
2021-04-23,2089678684271
2021-04-24,1754811249747
2021-04-25,2257611635841
2021-04-26,2926383388466
2021-04-27,3269942645901
2021-04-28,2733465277984
2021-04-29,1981844201679
2021-04-30,2976489104271
2021-05-01,2661390830204
2021-05-02,3184106011581
2021-05-03,2788774572415
2021-05-04,2809432805422
2021-05-05,2673685074428
2021-05-06,2480232928655
2021-05-07,2298122203864
2021-05-08,2526411627188
2021-05-09,2538528344924
2021-05-10,2234836433512
2021-05-11,2650249158118
2021-05-12,2975830196962
2021-05-13,1922461751023
2021-05-14,2400063385616
2021-05-15,2816336727507
2021-05-16,2335997377778
2021-05-17,3150924750416
2021-05-18,2176983292400
2021-05-19,3178929359642
2021-05-20,3138997405093
2021-05-21,2985017664890
2021-05-22,2435081693874
2021-05-23,2237000656496
2021-05-24,2260177482414
2021-05-25,2226005761143
2021-05-26,3045243932421
2021-05-27,1914692019908
2021-05-28,1905996199369
2021-05-29,2146609943998
2021-05-30,1796357798267
2021-05-31,2147087929210
2021-06-01,2313208561086
2021-06-02,2503162513188
2021-06-03,2373290156626
2021-06-04,1836313428519
2021-06-05,2774377558104
2021-06-06,2661968205296
2021-06-07,2286769448978
2021-06-08,2373477575205
2021-06-09,2231739281051
2021-06-10,2279673759821
2021-06-11,2376717411030
2021-06-12,1647917877854
2021-06-13,2215010651174
2021-06-14,2628274806499
2021-06-15,1630939031854
2021-06-16,2328766922870
2021-06-17,2862636697651
2021-06-18,2459347198351
2021-06-19,1021176533858
2021-06-20,3848941922098
2021-06-21,3037747803332
2021-06-22,2530825336160
2021-06-23,3079275155748
2021-06-24,4095287558997
2021-06-25,4032173472734
2021-06-26,3372905796067
2021-06-27,3580140076022
2021-06-28,3490356764484
2021-06-29,3998476489291
2021-06-30,3045075866700
2021-07-01,2663022214744
2021-07-02,2455216411183
2021-07-03,2136394833782
2021-07-04,2480513408061
2021-07-05,1490628339209
2021-07-06,2575585805484
2021-07-07,2325253754661
